bucket,count,median,mean,std,feature,engagement_metric,pct_change_from_baseline
1-20,4232,67.31,264.7984215500945,1042.4657119149886,prompt_word_count,likes_per_month,0.0
21-40,6834,72.96000000000001,255.02657740708221,970.0652186308336,prompt_word_count,likes_per_month,8.39399792007132
41-60,5858,84.29499999999999,354.7970826220553,1400.4328764732104,prompt_word_count,likes_per_month,25.233991977417897
61+,12176,98.91,481.73684214848885,1788.6369232498148,prompt_word_count,likes_per_month,46.946961818451925
1-20,4232,104.16,406.7920415879017,1592.7410600676203,prompt_word_count,reactions_per_month,0.0
21-40,6834,112.845,388.0667866549605,1453.932453600819,prompt_word_count,reactions_per_month,8.338133640552998
41-60,5858,127.945,534.1405599180607,2061.672163535697,prompt_word_count,reactions_per_month,22.835061443932407
61+,12176,148.135,720.102611695138,2649.8537017166723,prompt_word_count,reactions_per_month,42.2187019969278
0-10,17813,78.28,280.52592881603323,1120.9410904001838,negative_word_count,likes_per_month,0.0
11-20,4269,101.51,545.0429444834856,1962.2383739777156,negative_word_count,likes_per_month,29.675523760858464
21-30,2506,84.95,474.3014565043894,1917.8270356046723,negative_word_count,likes_per_month,8.520694941236588
31+,4512,96.41999999999999,508.66832890070924,1719.6929389356246,negative_word_count,likes_per_month,23.173224322943263
0-10,17813,120.0,427.4671475888396,1699.5181658168215,negative_word_count,reactions_per_month,0.0
11-20,4269,152.22,812.573293511361,2870.6296401283976,negative_word_count,reactions_per_month,26.85
21-30,2506,129.725,702.849225857941,2801.7126846432657,negative_word_count,reactions_per_month,8.104166666666663
31+,4512,146.21,759.2795412234043,2539.116904405522,negative_word_count,reactions_per_month,21.841666666666672
0,23763,81.81,355.428301982073,1381.0209817817506,actions_verbs_count,likes_per_month,0.0
1,3168,87.64,404.4678598484848,1762.9452001732561,actions_verbs_count,likes_per_month,7.12626818237379
2-3,1810,95.74,508.79805524861877,1798.6602210554881,actions_verbs_count,likes_per_month,17.027258281383684
4+,359,90.28,443.4157381615599,1393.8786593218185,actions_verbs_count,likes_per_month,10.353257547977018
0,23763,123.69,533.3186819845979,2045.6248604775578,actions_verbs_count,reactions_per_month,0.0
1,3168,136.505,619.431231060606,2655.6257509747566,actions_verbs_count,reactions_per_month,10.36057886652114
2-3,1810,148.01,767.6564364640883,2656.0154815647907,actions_verbs_count,reactions_per_month,19.662058371735785
4+,359,147.36,683.8133983286908,2072.580177867158,actions_verbs_count,reactions_per_month,19.136551055057012
0,27816,84.28,370.21119607420195,1458.5173174854303,artists_count,likes_per_month,0.0
1,615,80.5,375.89139837398375,1425.4482970669512,artists_count,likes_per_month,-4.485049833887045
2-3,467,55.1,202.15122055674516,970.0849554438772,artists_count,likes_per_month,-34.62268628381585
4+,202,106.55,911.5603465346535,2028.730469863509,artists_count,likes_per_month,26.423825344091117
0,27816,129.10000000000002,557.7694352171412,2167.044027828158,artists_count,reactions_per_month,0.0
1,615,119.56,550.5260325203252,2043.0836050166467,artists_count,reactions_per_month,-7.38962044926415
2-3,467,80.8,299.1247965738758,1430.8223399188482,artists_count,reactions_per_month,-37.41285824941907
