metric,feature1,feature2,feature1_name,feature2_name,neither_count,feature1_only_count,feature2_only_count,both_count,neither_median,feature1_only_median,feature2_only_median,both_median,feature1_only_uplift,feature2_only_uplift,both_uplift,synergy_effect,synergy_percent
likes_per_month,has_quality_boosters,has_actions_verbs,Quality,Actions,8620,7437,5864,7179,82.38499999999999,80.26,72.86,105.27,-2.5793530375675013,-11.56157067427322,27.778114948109494,34.53499999999998,41.91903865995022
likes_per_month,has_actions_verbs,has_subjects,Actions,Subjects,3969,106,12088,12937,98.57,69.785,76.6,86.05,-29.202597139088972,-22.28872882215684,-12.701633357005171,38.235,38.78969260424064
reactions_per_month,has_quality_boosters,has_actions_verbs,Quality,Actions,8620,7437,5864,7179,123.52000000000001,120.34,114.97999999999999,158.24,-2.5744818652849792,-6.913860103626959,28.108808290155434,46.440000000000026,37.59715025906738
reactions_per_month,has_actions_verbs,has_subjects,Actions,Subjects,3969,106,12088,12937,149.1,114.82,113.315,134.21,-22.991281019450035,-24.000670690811535,-9.986586183769273,55.17500000000001,37.0053655264923
likes_per_month,has_camera_composition,has_quality_boosters,Camera,Quality,10753,3731,6110,8506,79.3,72.86,85.28999999999999,96.935,-8.12105926860025,7.553593947036563,22.23833543505675,18.085000000000022,22.805800756620457
reactions_per_month,has_camera_composition,has_quality_boosters,Camera,Quality,10753,3731,6110,8506,121.79,112.96,129.20499999999998,145.09,-7.250184744231884,6.08834879710976,19.13129156745217,24.715000000000046,20.293127514574305
reactions_per_month,has_camera_composition,has_lighting_color,Camera,Lighting,10935,5743,5928,6494,127.36,130.36,120.0,134.065,2.355527638190966,-5.7788944723618085,5.264604271356783,11.064999999999984,8.687971105527625
likes_per_month,has_camera_composition,has_lighting_color,Camera,Lighting,10935,5743,5928,6494,82.57,85.52,79.06,88.63,3.5727261717330787,-4.2509385975535805,7.3392273222720155,6.6200000000000045,8.017439748092533
likes_per_month,has_style_modifiers,has_artists,Style Modifiers,Artists,14754,9611,2104,2631,84.04,87.87,68.765,78.39,4.557353641123272,-18.17586863398382,-6.722989052831991,5.795000000000016,6.895525940028577
reactions_per_month,has_style_modifiers,has_artists,Style Modifiers,Artists,14754,9611,2104,2631,129.36,132.86,107.0,116.34,2.7056277056277054,-17.28509585652444,-10.064935064935073,5.840000000000003,4.51453308596166
likes_per_month,has_lighting_color,has_quality_boosters,Lighting,Quality,9863,4621,6815,7801,78.82,75.44,91.98,91.79,-4.288251712763253,16.696269982238025,16.455214412585654,3.1899999999999835,4.047196143110865
reactions_per_month,has_lighting_color,has_quality_boosters,Lighting,Quality,9863,4621,6815,7801,121.26,114.55,138.72,136.87,-5.533564242124367,14.39881246907471,12.873165099785583,4.860000000000014,4.007916872835241
