metric,feature_combination,count,median_engagement,mean_engagement,std_engagement,percentile_rank
reactions_per_month,Actions + Artists + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,32,4752.030000000001,5932.2890625,4686.137032851765,97.94501718213058
reactions_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Subjects,12,4278.14,4515.634166666668,2576.996223216927,97.72508591065292
reactions_per_month,Artists + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,25,4090.83,6590.8184,7874.610084615329,97.61855670103093
reactions_per_month,Actions + Camera + Lighting + Parameter Weights + Quality + Subjects,24,3824.4,5303.495833333333,5184.3422847309475,97.4639175257732
reactions_per_month,Actions + Camera + Parameter Weights + Quality + Subjects,10,3204.775,4555.784000000001,3322.5990567512054,96.97938144329896
reactions_per_month,Actions + Artists + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,23,3185.45,5763.768260869564,6154.052039731822,96.96563573883161
reactions_per_month,Camera + Lighting + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,26,2933.275,6750.581538461538,8246.405264987934,96.77319587628865
reactions_per_month,Artists + Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,17,2887.3,4955.687058823529,4527.197999135194,96.74570446735395
reactions_per_month,Actions + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Subjects,30,2620.635,5125.164000000001,5188.780185146023,96.4020618556701
reactions_per_month,Artists + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,11,2531.05,5757.099999999999,6845.73354179614,96.28865979381443
reactions_per_month,Actions + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Style Codes + Style Modifiers + Subjects,14,2490.0,4690.267142857143,4055.4677597982786,96.2233676975945
reactions_per_month,Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Subjects,14,2375.5699999999997,7246.618571428572,11609.709588150685,96.07560137457044
reactions_per_month,Actions + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,46,2349.165,3234.4769565217393,2455.3716008685133,96.03436426116838
reactions_per_month,Parameter Weights + Style Modifiers + Subjects,23,2293.72,4266.588695652173,5737.060086768654,95.95876288659794
