Category,Group,Count,Median Value,Percentage Change
Subjects,Has Subjects,20655,414.0,+5.3%
Subjects,No Subjects,2989,393.0,+5.3%
Style Modifiers,Has Style Modifiers,10030,447.0,+13.7%
Style Modifiers,No Style Modifiers,13614,393.0,+13.7%
Quality Boosters,Has Quality Boosters,11524,416.0,+3.0%
Quality Boosters,No Quality Boosters,12120,404.0,+3.0%
Camera Composition,Has Camera Composition,9577,395.0,-6.8%
Camera Composition,No Camera Composition,14067,424.0,-6.8%
Lighting Color,Has Lighting Color,10209,427.0,+6.8%
Lighting Color,No Lighting Color,13435,400.0,+6.8%
Artists,Has Artists,3856,396.0,-4.3%
Artists,No Artists,19788,414.0,-4.3%
Actions Verbs,Has Actions Verbs,10366,386.0,-11.7%
Actions Verbs,No Actions Verbs,13278,437.0,-11.7%
Style Codes,Has Style Codes,11537,430.0,+8.0%
Style Codes,No Style Codes,12107,398.0,+8.0%
Negative Terms,Has Negative Terms,12366,398.0,-7.4%
Negative Terms,No Negative Terms,11278,430.0,-7.4%
Weights,Has Weights,10628,425.0,+6.0%
Weights,No Weights,13016,401.0,+6.0%
