Category,Group,Count,Median Value,Percentage Change
Subjects,Has Subjects,20655,63.2,+0.0%
Subjects,No Subjects,2989,63.2,+0.0%
Style Modifiers,Has Style Modifiers,10030,64.7,+4.3%
Style Modifiers,No Style Modifiers,13614,62.0,+4.3%
Quality Boosters,Has Quality Boosters,11524,65.0,+5.7%
Quality Boosters,No Quality Boosters,12120,61.5,+5.7%
Camera Composition,Has Camera Composition,9577,62.3,-2.4%
Camera Composition,No Camera Composition,14067,63.9,-2.4%
Lighting Color,Has Lighting Color,10209,64.2,+2.8%
Lighting Color,No Lighting Color,13435,62.4,+2.8%
Artists,Has Artists,3856,55.2,-14.9%
Artists,No Artists,19788,64.8,-14.9%
Actions Verbs,Has Actions Verbs,10366,64.8,+5.1%
Actions Verbs,No Actions Verbs,13278,61.6,+5.1%
Style Codes,Has Style Codes,11537,61.7,-4.4%
Style Codes,No Style Codes,12107,64.6,-4.4%
Negative Terms,Has Negative Terms,12366,57.3,-18.0%
Negative Terms,No Negative Terms,11278,69.9,-18.0%
Weights,Has Weights,10628,62.3,-2.7%
Weights,No Weights,13016,64.0,-2.7%
