Category,Group,Count,Median Value,Percentage Change
Subjects,Has Subjects,20655,594.0,+3.5%
Subjects,No Subjects,2989,574.0,+3.5%
Style Modifiers,Has Style Modifiers,10030,614.0,+6.2%
Style Modifiers,No Style Modifiers,13614,578.0,+6.2%
Quality Boosters,Has Quality Boosters,11524,595.0,+1.5%
Quality Boosters,No Quality Boosters,12120,586.0,+1.5%
Camera Composition,Has Camera Composition,9577,578.0,-3.5%
Camera Composition,No Camera Composition,14067,599.0,-3.5%
Lighting Color,Has Lighting Color,10209,599.0,+2.6%
Lighting Color,No Lighting Color,13435,584.0,+2.6%
Artists,Has Artists,3856,574.0,-3.2%
Artists,No Artists,19788,593.0,-3.2%
Actions Verbs,Has Actions Verbs,10366,574.0,-5.0%
Actions Verbs,No Actions Verbs,13278,604.0,-5.0%
Style Codes,Has Style Codes,11537,603.0,+4.3%
Style Codes,No Style Codes,12107,578.0,+4.3%
Negative Terms,Has Negative Terms,12366,582.0,-3.0%
Negative Terms,No Negative Terms,11278,600.0,-3.0%
Weights,Has Weights,10628,599.0,+2.7%
Weights,No Weights,13016,583.0,+2.7%
