feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,-0.03840477823895414,5.620374264199704e-11,-0.013479060341523293,0.02148444175672543,0.03840477823895414,original
has_artists,-0.017422049913568653,0.002957925258630756,-0.015174741355028352,0.009635163041056018,0.017422049913568653,original
has_camera_composition,-0.016917741958942845,0.0039013107602257147,-0.015992085132423995,0.006369978889117699,0.016917741958942845,original
has_lighting_color,0.04151773146597414,1.3889883648316588e-12,0.019826176811195036,0.0007188695269919355,0.04151773146597414,original
has_quality_boosters,0.004315179612048791,0.4616781769042797,-0.014474600644381181,0.013541355190872684,0.004315179612048791,original
has_style_codes,0.015120750015835646,0.00989596814809329,-0.006895654906077197,0.2394853774519672,0.015120750015835646,original
has_style_modifiers,0.05044783773033146,7.250849475514655e-18,0.026522220575553902,6.040879562644053e-06,0.05044783773033146,original
has_subjects,0.01651038170983922,0.004854534148465649,0.019600158771534794,0.0008266486105770285,0.01651038170983922,original
actions_verbs_count,-0.039787778595422346,1.1237988048571197e-11,-0.014413170825562895,0.01394314363600062,0.039787778595422346,log1p
artists_count,-0.017049553988800356,0.0036314105959922164,-0.010779529839883372,0.06594100801084639,0.017049553988800356,log1p
camera_composition_count,-0.01614312166031851,0.005889490489303309,-0.01692958405200555,0.0038763381609576665,0.01614312166031851,log1p
lighting_color_count,0.04389021842732805,6.866501902661322e-14,0.01630713798843637,0.005404921359924818,0.04389021842732805,log1p
quality_boosters_count,0.005764938448179168,0.3254151580260739,-0.014558878233116045,0.013006783308815785,0.005764938448179168,log1p
style_codes_count,0.029382739509836518,5.353585653497581e-07,-0.0008110147542537151,0.889969475095224,0.029382739509836518,log1p
style_modifiers_count,0.049396193235974134,3.4230217442588597e-17,0.02112462567026735,0.00031355192883613406,0.049396193235974134,log1p
subjects_count,-0.010943605067535908,0.06192744372364939,-0.010054092871170308,0.08633249779319166,0.010943605067535908,log1p
has_negative,-0.04852329352909708,1.2114740290474814e-16,-0.06021563514266807,8.5916160967819e-25,0.04852329352909708,original
has_weights,0.017955270358997837,0.002190897868268363,-0.00721601800617951,0.21835143784917355,0.017955270358997837,original
negative_word_count,-0.0490376051299131,5.768441582311895e-17,-0.06392286993599287,9.760049133504288e-28,0.0490376051299131,log1p
prompt_word_count,0.044866305778624216,1.901114173651638e-14,0.023682617760066672,5.337262320219213e-05,0.044866305778624216,log1p
