feature,threshold,threshold_value,point_biserial_r,point_biserial_p,spearman_r,spearman_p,abs_correlation,success_rate
has_negative,top_10_percent,2197.0,-0.060721382409987285,3.4883848814397947e-25,-0.06072138240998738,3.488384881439564e-25,0.060721382409987285,0.10003436426116838
negative_word_count,top_10_percent,2197.0,-0.027107726128517064,3.74810199155456e-06,-0.061273435208510994,1.2931085075640817e-25,0.027107726128517064,0.10003436426116838
subjects_count,top_10_percent,2197.0,-0.02300350318139862,8.692653405120669e-05,-0.01062303163712094,0.06996661716231135,0.02300350318139862,0.10003436426116838
has_style_codes,top_10_percent,2197.0,-0.02009682424072493,0.0006070151951737442,-0.020096824240724894,0.0006070151951737648,0.02009682424072493,0.10003436426116838
has_weights,top_10_percent,2197.0,-0.01682168505640842,0.004109338271541578,-0.01682168505640837,0.004109338271541381,0.01682168505640842,0.10003436426116838
has_quality_boosters,top_10_percent,2197.0,-0.015599672428129643,0.007787370834773229,-0.015599672428129676,0.007787370834772595,0.015599672428129643,0.10003436426116838
prompt_word_count,top_10_percent,2197.0,0.014914686838493282,0.010950101234845775,0.01933901356971143,0.0009697621928500609,0.014914686838493282,0.10003436426116838
has_artists,top_10_percent,2197.0,-0.014789313128979497,0.011639234825561987,-0.014789313128979529,0.011639234825562464,0.014789313128979497,0.10003436426116838
has_subjects,top_10_percent,2197.0,0.012422573931533985,0.034080065336831764,0.012422573931533967,0.034080065336832485,0.012422573931533985,0.10003436426116838
quality_boosters_count,top_10_percent,2197.0,-0.011812612769207772,0.04389788882372399,-0.015705454947394313,0.007379828766210422,0.011812612769207772,0.10003436426116838
style_codes_count,top_10_percent,2197.0,-0.011760513861970943,0.04483741258808144,-0.02263907724600525,0.00011233999576374702,0.011760513861970943,0.10003436426116838
camera_composition_count,top_10_percent,2197.0,-0.011198855857791977,0.056086936971288325,-0.011691162569634548,0.04611431931201668,0.011198855857791977,0.10003436426116838
actions_verbs_count,top_10_percent,2197.0,0.00936449603565484,0.11016994381389296,0.003950059568516828,0.5004363332285517,0.00936449603565484,0.10003436426116838
has_lighting_color,top_10_percent,2197.0,0.008885295461357542,0.12959961230519038,0.008885295461357518,0.12959961230519162,0.008885295461357542,0.10003436426116838
has_camera_composition,top_10_percent,2197.0,-0.00791631581878588,0.17689237079083397,-0.00791631581878587,0.17689237079082712,0.00791631581878588,0.10003436426116838
has_style_modifiers,top_10_percent,2197.0,0.0065839282544116525,0.2613958964877504,0.0065839282544116915,0.2613958964877347,0.0065839282544116525,0.10003436426116838
has_actions_verbs,top_10_percent,2197.0,0.004894258805780083,0.4037925155132127,0.004894258805780073,0.4037925155132127,0.004894258805780083,0.10003436426116838
style_modifiers_count,top_10_percent,2197.0,-0.003837510245061591,0.5127224271968613,0.003425128516956755,0.5590455537700945,0.003837510245061591,0.10003436426116838
artists_count,top_10_percent,2197.0,0.0016374594391835872,0.7800009137454086,-0.01424176484898213,0.01512041871261622,0.0016374594391835872,0.10003436426116838
lighting_color_count,top_10_percent,2197.0,0.0007046759300685251,0.9043218978351233,0.0061511432543448815,0.2940532778524755,0.0007046759300685251,0.10003436426116838
has_negative,top_25_percent,961.0,-0.050486072194261614,6.848913390536739e-18,-0.05048607219426159,6.8489133905400144e-18,0.050486072194261614,0.2501030927835052
negative_word_count,top_25_percent,961.0,-0.03364448412272828,9.428732885431019e-09,-0.05506581174067022,5.443224094283559e-21,0.03364448412272828,0.2501030927835052
subjects_count,top_25_percent,961.0,-0.03314495646378909,1.5546845179691386e-08,-0.019173262105636545,0.0010721580400963502,0.03314495646378909,0.2501030927835052
has_style_modifiers,top_25_percent,961.0,0.027845401318066103,2.026267853639456e-06,0.027845401318066103,2.0262678536395062e-06,0.027845401318066103,0.2501030927835052
