feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,0.03799932140040648,8.916720463979683e-11,0.0192984543238312,0.000993945744014213,0.03799932140040648,original
has_artists,-0.03401332840306153,6.487926498612029e-09,9.30345192793041e-05,0.9873382483912575,0.03401332840306153,original
has_camera_composition,0.03660385049000531,4.2116753219858554e-10,0.030419290964213128,2.1015816500499888e-07,0.03660385049000531,original
has_lighting_color,0.008282344788475537,0.15770697384364038,0.003797050756024942,0.5171771621886465,0.008282344788475537,original
has_quality_boosters,0.06319266120612776,3.830296083079515e-27,0.022840378795863377,9.754542990034586e-05,0.06319266120612776,original
has_style_codes,-0.007963043563350074,0.17435054094465727,-0.0007603244016407539,0.8968068887769649,0.007963043563350074,original
has_style_modifiers,0.008680038008339898,0.1386951058216386,-0.006513203084342693,0.2665540286897193,0.008680038008339898,original
has_subjects,-0.04483009193820411,1.994864547594694e-14,-0.046054581127525,3.836552738503737e-15,0.04483009193820411,original
actions_verbs_count,0.04788712736440163,3.001414624436131e-16,0.02481142628797415,2.3061293675819464e-05,0.04788712736440163,log1p
artists_count,-0.035209134270834386,1.880193574097624e-09,0.0064293858200503776,0.27275712868113366,0.035209134270834386,log1p
camera_composition_count,0.05377101669860271,4.3553882767980915e-20,0.045915363571716696,4.637558932616252e-15,0.05377101669860271,log1p
lighting_color_count,0.02476934769607119,2.3809237556890848e-05,0.019540380450086384,0.0008575627715324004,0.02476934769607119,log1p
quality_boosters_count,0.09194108866769363,1.1641014885238775e-55,0.044284117940630946,4.1029814688045155e-14,0.09194108866769363,log1p
style_codes_count,0.013045602433427029,0.026053581912393684,0.013523804970650288,0.021055115654712332,0.013045602433427029,log1p
style_modifiers_count,0.014028114167435865,0.016709785686887,0.002492403879104239,0.6707239425107364,0.014028114167435865,log1p
subjects_count,-0.018064958850645702,0.0020577362258636035,-0.01764163996171367,0.0026164082652705644,0.018064958850645702,log1p
has_negative,0.015693070969952982,0.007426530219295318,0.055789201235523785,1.6674535855351038e-21,0.015693070969952982,original
has_weights,0.01941201059813766,0.0009276052917642586,0.014743076892653138,0.011902929215140193,0.01941201059813766,original
negative_word_count,0.039909621951698025,9.726537067348908e-12,0.06663182084099661,5.3392638885498095e-30,0.039909621951698025,log1p
prompt_word_count,0.1341613756355782,5.97405732364933e-117,0.0547094195049578,9.695341015243203e-21,0.1341613756355782,log1p
