feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,0.03799932140040648,8.916720463979683e-11,0.03799932140040647,8.916720463981883e-11,0.03799932140040648,percentile_rank
has_artists,-0.03401332840306153,6.487926498612029e-09,-0.03401332840306153,6.487926498612654e-09,0.03401332840306153,percentile_rank
has_camera_composition,0.03660385049000531,4.2116753219858554e-10,0.036603850490005314,4.2116753219863305e-10,0.03660385049000531,percentile_rank
has_lighting_color,0.008282344788475537,0.15770697384364038,0.008282344788475539,0.15770697384364885,0.008282344788475537,percentile_rank
has_quality_boosters,0.06319266120612776,3.830296083079515e-27,0.06319266120612778,3.8302960830794044e-27,0.06319266120612776,percentile_rank
has_style_codes,-0.007963043563350074,0.17435054094465727,-0.007963043563350078,0.17435054094466138,0.007963043563350074,percentile_rank
has_style_modifiers,0.008680038008339898,0.1386951058216386,0.0086800380083399,0.13869510582163977,0.008680038008339898,percentile_rank
has_subjects,-0.04483009193820411,1.994864547594694e-14,-0.044830091938204086,1.9948645475946956e-14,0.04483009193820411,percentile_rank
actions_verbs_count,0.04788712736440163,3.001414624436131e-16,0.04788712736440162,3.00141462443568e-16,0.04788712736440163,percentile_rank
artists_count,-0.035209134270834386,1.880193574097624e-09,-0.03520913427083437,1.8801935740979424e-09,0.035209134270834386,percentile_rank
camera_composition_count,0.05377101669860271,4.3553882767980915e-20,0.05377101669860271,4.3553882767973735e-20,0.05377101669860271,percentile_rank
lighting_color_count,0.02476934769607119,2.3809237556890848e-05,0.024769347696071198,2.380923755689357e-05,0.02476934769607119,percentile_rank
quality_boosters_count,0.09194108866769363,1.1641014885238775e-55,0.09194108866769365,1.1641014885235478e-55,0.09194108866769363,percentile_rank
style_codes_count,0.013045602433427029,0.026053581912393684,0.013045602433427035,0.026053581912392276,0.013045602433427029,percentile_rank
style_modifiers_count,0.014028114167435865,0.016709785686887,0.014028114167435865,0.01670978568688794,0.014028114167435865,percentile_rank
subjects_count,-0.018064958850645702,0.0020577362258636035,-0.018064958850645706,0.002057736225863787,0.018064958850645702,percentile_rank
has_negative,0.015693070969952982,0.007426530219295318,0.01569307096995299,0.007426530219295477,0.015693070969952982,percentile_rank
has_weights,0.01941201059813766,0.0009276052917642586,0.019412010598137658,0.0009276052917643058,0.01941201059813766,percentile_rank
negative_word_count,0.039909621951698025,9.726537067348908e-12,0.03990962195169802,9.726537067346864e-12,0.039909621951698025,percentile_rank
prompt_word_count,0.1341613756355782,5.97405732364933e-117,0.13416137563557815,5.974057323645023e-117,0.1341613756355782,percentile_rank
