feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,n_samples,spearman_significant,effect_size
has_actions_verbs,0.03799932140040648,8.916720463979683e-11,0.0192984543238312,0.000993945744014213,0.03799932140040648,29100,True,negligible
has_artists,-0.03401332840306153,6.487926498612029e-09,9.30345192793041e-05,0.9873382483912575,0.03401332840306153,29100,True,negligible
has_camera_composition,0.03660385049000531,4.2116753219858554e-10,0.030419290964213128,2.1015816500499888e-07,0.03660385049000531,29100,True,negligible
has_lighting_color,0.008282344788475537,0.15770697384364038,0.003797050756024942,0.5171771621886465,0.008282344788475537,29100,False,negligible
has_quality_boosters,0.06319266120612776,3.830296083079515e-27,0.022840378795863377,9.754542990034586e-05,0.06319266120612776,29100,True,negligible
has_style_codes,-0.007963043563350074,0.17435054094465727,-0.0007603244016407539,0.8968068887769649,0.007963043563350074,29100,False,negligible
has_style_modifiers,0.008680038008339898,0.1386951058216386,-0.006513203084342693,0.2665540286897193,0.008680038008339898,29100,False,negligible
has_subjects,-0.04483009193820411,1.994864547594694e-14,-0.046054581127525,3.836552738503737e-15,0.04483009193820411,29100,True,negligible
actions_verbs_count,0.04788712736440163,3.001414624436131e-16,0.024154995511861732,3.7730058899175176e-05,0.04788712736440163,29100,True,negligible
artists_count,-0.035209134270834386,1.880193574097624e-09,0.0161269057824107,0.005939464613980284,0.035209134270834386,29100,True,negligible
camera_composition_count,0.05377101669860271,4.3553882767980915e-20,0.05300872433381563,1.4483391873352115e-19,0.05377101669860271,29100,True,negligible
lighting_color_count,0.02476934769607119,2.3809237556890848e-05,0.026943265658508478,4.290006478115052e-06,0.02476934769607119,29100,True,negligible
quality_boosters_count,0.09194108866769363,1.1641014885238775e-55,0.05595777326174645,1.262911625808985e-21,0.09194108866769363,29100,True,negligible
style_codes_count,0.013045602433427029,0.026053581912393684,0.02366095492816769,5.422027273603694e-05,0.013045602433427029,29100,True,negligible
style_modifiers_count,0.014028114167435865,0.016709785686887,0.00782492914232926,0.18194311943180314,0.014028114167435865,29100,True,negligible
subjects_count,-0.018064958850645702,0.0020577362258636035,0.0016225248342273508,0.7819564914076259,0.018064958850645702,29100,True,negligible
has_negative,0.015693070969952982,0.007426530219295318,0.055789201235523785,1.6674535855351038e-21,0.015693070969952982,29100,True,negligible
has_weights,0.01941201059813766,0.0009276052917642586,0.014743076892653138,0.011902929215140193,0.01941201059813766,29100,True,negligible
negative_word_count,0.039909621951698025,9.726537067348908e-12,0.02286233201788246,9.604820817848336e-05,0.039909621951698025,29100,True,negligible
prompt_word_count,0.1341613756355782,5.97405732364933e-117,0.0403761297000634,5.572756213384863e-12,0.1341613756355782,29100,True,negligible
