feature,threshold,threshold_value,point_biserial_r,point_biserial_p,spearman_r,spearman_p,abs_correlation,success_rate
has_negative,top_10_percent,613.8020000000005,0.07827249198097781,8.786456925246023e-41,0.07827249198097787,8.786456925245971e-41,0.07827249198097781,0.1
camera_composition_count,top_10_percent,613.8020000000005,0.07486397600743154,1.9075271073963814e-37,0.057339719217818434,1.254602848968215e-22,0.07486397600743154,0.1
quality_boosters_count,top_10_percent,613.8020000000005,0.07471538783769104,2.6457423886377704e-37,0.059920353982645135,1.4491928169166964e-24,0.07471538783769104,0.1
prompt_word_count,top_10_percent,613.8020000000005,0.064654921991393,2.43994341181398e-28,0.09423572839253831,2.149954382363933e-58,0.064654921991393,0.1
has_subjects,top_10_percent,613.8020000000005,-0.056609852074657616,4.277310306227064e-22,-0.056609852074657595,4.277310306226364e-22,0.056609852074657616,0.1
lighting_color_count,top_10_percent,613.8020000000005,0.04797355035467981,2.655203330932777e-16,0.01991979431520903,0.0006781753899389311,0.04797355035467981,0.1
negative_word_count,top_10_percent,613.8020000000005,0.04585860715270897,5.009468207028375e-15,0.09743346592260411,2.567123865997328e-62,0.04585860715270897,0.1
has_camera_composition,top_10_percent,613.8020000000005,0.04578265037175792,5.553467731367469e-15,0.045782650371757945,5.553467731368396e-15,0.04578265037175792,0.1
actions_verbs_count,top_10_percent,613.8020000000005,0.040986340805922325,2.6642591916408328e-12,0.037874420870367055,1.0269251628612921e-10,0.040986340805922325,0.1
style_codes_count,top_10_percent,613.8020000000005,0.03474772383952507,3.046860863275104e-09,0.009236108145272986,0.11513463369939697,0.03474772383952507,0.1
has_quality_boosters,top_10_percent,613.8020000000005,0.03170708450956083,6.30419236327198e-08,0.03170708450956083,6.304192363271233e-08,0.03170708450956083,0.1
has_actions_verbs,top_10_percent,613.8020000000005,0.03056530383917564,1.8377298670883004e-07,0.030565303839175693,1.8377298670880997e-07,0.03056530383917564,0.1
has_weights,top_10_percent,613.8020000000005,0.02237675948325945,0.00013480904414604354,0.022376759483259474,0.00013480904414602934,0.02237675948325945,0.1
artists_count,top_10_percent,613.8020000000005,0.011469993411585892,0.05039279616585088,-0.005507136374437448,0.34751830065280576,0.011469993411585892,0.1
subjects_count,top_10_percent,613.8020000000005,-0.008733909102240629,0.1362616569614372,-0.0216215271028588,0.00022546575137863024,0.008733909102240629,0.1
style_modifiers_count,top_10_percent,613.8020000000005,0.006586650478904186,0.2611987476389363,0.0008517691321833398,0.8844781880161022,0.006586650478904186,0.1
has_artists,top_10_percent,613.8020000000005,-0.005120583942234419,0.38240456022934505,-0.00512058394223434,0.382404560229351,0.005120583942234419,0.1
has_style_modifiers,top_10_percent,613.8020000000005,-0.0032948669142656554,0.5740890578559616,-0.003294866914265637,0.5740890578559636,0.0032948669142656554,0.1
has_lighting_color,top_10_percent,613.8020000000005,0.002732706598002461,0.6411112349022462,0.002732706598002441,0.641111234902256,0.002732706598002461,0.1
has_style_codes,top_10_percent,613.8020000000005,-0.0009627863068447672,0.8695484922010682,-0.0009627863068447754,0.8695484922010694,0.0009627863068447672,0.1
quality_boosters_count,top_25_percent,213.8725,0.08534899844423316,3.476654371454685e-48,0.07862400506160244,3.901715761549625e-41,0.08534899844423316,0.25
prompt_word_count,top_25_percent,213.8725,0.0828796820024332,1.57502083192874e-45,0.10504268400291812,3.4765997128070523e-72,0.0828796820024332,0.25
camera_composition_count,top_25_percent,213.8725,0.07500062807378702,1.4111004090780645e-37,0.054217125498162315,2.139123546848803e-20,0.07500062807378702,0.25
has_quality_boosters,top_25_percent,213.8725,0.05460083461754675,1.1551263280191162e-20,0.054600834617546765,1.1551263280191966e-20,0.05460083461754675,0.25
has_negative,top_25_percent,213.8725,0.04758802597665283,4.579520431399089e-16,0.04758802597665274,4.57952043139907e-16,0.04758802597665283,0.25
style_codes_count,top_25_percent,213.8725,0.04647917026205091,2.144338958908099e-15,0.020742703986563103,0.00040214989163185936,0.04647917026205091,0.25
lighting_color_count,top_25_percent,213.8725,0.04520698558103138,1.2065347171712067e-14,0.016805382798673826,0.004145626419745384,0.04520698558103138,0.25
negative_word_count,top_25_percent,213.8725,0.04484316525844302,1.9605072485697105e-14,0.06960692798772677,1.3670083239924025e-32,0.04484316525844302,0.25
has_camera_composition,top_25_percent,213.8725,0.040794396704147314,3.364258005669929e-12,0.04079439670414731,3.364258005670046e-12,0.040794396704147314,0.25
has_subjects,top_25_percent,213.8725,-0.040078046146698555,7.960523052184115e-12,-0.04007804614669856,7.96052305218406e-12,0.040078046146698555,0.25
has_weights,top_25_percent,213.8725,0.03262337458308796,2.600957804540731e-08,0.03262337458308799,2.600957804540392e-08,0.03262337458308796,0.25
actions_verbs_count,top_25_percent,213.8725,0.03229066184814999,3.597025731586129e-08,0.03221008478563127,3.889018435737537e-08,0.03229066184814999,0.25
has_actions_verbs,top_25_percent,213.8725,0.027487651987627804,2.7357006466923494e-06,0.02748765198762781,2.7357006466919966e-06,0.027487651987627804,0.25
has_artists,top_25_percent,213.8725,-0.013061782468037632,0.025869013998706954,-0.013061782468037606,0.025869013998707602,0.013061782468037632,0.25
style_modifiers_count,top_25_percent,213.8725,0.012812525684995002,0.028841297086845095,0.00977947025433874,0.09527188737338495,0.012812525684995002,0.25
has_style_codes,top_25_percent,213.8725,0.010561433735149443,0.07160545149277363,0.010561433735149419,0.07160545149277223,0.010561433735149443,0.25
has_style_modifiers,top_25_percent,213.8725,0.006671419474280604,0.25511100992347124,0.00667141947428055,0.25511100992346375,0.006671419474280604,0.25
subjects_count,top_25_percent,213.8725,-0.0032586789608118976,0.5783020626171105,-0.019754388465168946,0.0007515992090072189,0.0032586789608118976,0.25
artists_count,top_25_percent,213.8725,-0.002710154573434068,0.6438671124671309,-0.01325025370822873,0.023801020490900847,0.002710154573434068,0.25
has_lighting_color,top_25_percent,213.8725,0.000882458531679826,0.8803467114081156,0.0008824585316797998,0.8803467114081029,0.000882458531679826,0.25
prompt_word_count,top_50_percent,83.785,0.08953720262352452,7.190821965461599e-53,0.09705541879478441,7.588149378036954e-62,0.08953720262352452,0.5
quality_boosters_count,top_50_percent,83.785,0.08051192978373205,4.684234394564318e-43,0.07595729714690938,1.684164533264733e-38,0.08051192978373205,0.5
camera_composition_count,top_50_percent,83.785,0.05649718872176558,5.161715004049483e-22,0.03508922313905911,2.1327490899668904e-09,0.05649718872176558,0.5
has_quality_boosters,top_50_percent,83.785,0.05305896511860037,1.338758697389817e-19,0.053058965118600344,1.3387586973898975e-19,0.05305896511860037,0.5
negative_word_count,top_50_percent,83.785,0.04950345286687261,2.9261820081862665e-17,0.034618090595301104,3.485617330809071e-09,0.04950345286687261,0.5
lighting_color_count,top_50_percent,83.785,0.04138160143242185,1.6424833676262622e-12,0.01683670990033662,0.004076149092918452,0.04138160143242185,0.5
style_codes_count,top_50_percent,83.785,0.03950705303563023,1.56500161183575e-11,0.009231062484774495,0.11533328256988215,0.03950705303563023,0.5
has_subjects,top_50_percent,83.785,-0.03772889849640446,1.209914041823143e-10,-0.037728898496404456,1.2099140418232017e-10,0.03772889849640446,0.5
has_artists,top_50_percent,83.785,-0.030816605179628493,1.4567653151075526e-07,-0.030816605179628486,1.4567653151080002e-07,0.030816605179628493,0.5
actions_verbs_count,top_50_percent,83.785,0.02893510295672169,7.942283645350419e-07,0.02492230998823168,2.1195945650245565e-05,0.02893510295672169,0.5
style_modifiers_count,top_50_percent,83.785,0.024710796412064747,2.4888467625997125e-05,0.018008864439924912,0.002124878064694618,0.024710796412064747,0.5
has_camera_composition,top_50_percent,83.785,0.020536059594022212,0.00045934482599421577,0.02053605959402219,0.0004593448259942748,0.020536059594022212,0.5
artists_count,top_50_percent,83.785,-0.019062231043454125,0.0011462473874092791,-0.03121959047377897,9.999513480645826e-08,0.019062231043454125,0.5
has_negative,top_50_percent,83.785,0.017370818291092344,0.003043242838665849,0.017370818291092355,0.003043242838666073,0.017370818291092344,0.5
has_actions_verbs,top_50_percent,83.785,0.017344140008213493,0.0030885541566046644,0.01734414000821349,0.003088554156604975,0.017344140008213493,0.5
has_weights,top_50_percent,83.785,0.01593740423627834,0.006552448568636208,0.015937404236278332,0.00655244856863645,0.01593740423627834,0.5
has_style_modifiers,top_50_percent,83.785,0.013225874233319813,0.024060181575496744,0.013225874233319812,0.024060181575496713,0.013225874233319813,0.5
has_style_codes,top_50_percent,83.785,-0.006601963246935608,0.2600916826353395,-0.006601963246935604,0.2600916826353372,0.006601963246935608,0.5
subjects_count,top_50_percent,83.785,-0.003843893142490316,0.5120214779051888,-0.016478843839180427,0.004936472256563129,0.003843893142490316,0.5
has_lighting_color,top_50_percent,83.785,0.0026400724760362515,0.6524623696171588,0.0026400724760362567,0.6524623696171583,0.0026400724760362515,0.5
