feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,0.050293400238347184,9.125193379365126e-18,0.022369159570239206,0.00013551920454934227,0.050293400238347184,original
has_artists,-0.034575953071925236,3.6410510188362304e-09,-0.0009570375523710354,0.8703204968815776,0.034575953071925236,original
has_camera_composition,0.03458621104504233,3.6026021906205538e-09,0.030357055987357728,2.2248500424619257e-07,0.03458621104504233,original
has_lighting_color,-0.0013142718794670245,0.8226106673660334,0.003375564526408893,0.564746941463526,0.0013142718794670245,original
has_quality_boosters,0.057110615201951855,1.846858061182478e-22,0.021335397236207473,0.0002728455929519622,0.057110615201951855,original
has_style_codes,-0.011486101591822982,0.05007033598504906,-0.0025018296201013176,0.669552324481787,0.011486101591822982,original
has_style_modifiers,0.0012269868249738165,0.834214550984073,-0.007456958150253071,0.20336430461413713,0.0012269868249738165,original
has_subjects,-0.044698229251907036,2.3762671286498595e-14,-0.045067469230506536,1.4540636774280165e-14,0.044698229251907036,original
actions_verbs_count,0.060012281032983145,1.231852768430283e-24,0.02775926702565209,2.178858088459722e-06,0.060012281032983145,log1p
artists_count,-0.036077063746279635,7.459319341017533e-10,0.005509812095289571,0.3472840971563713,0.036077063746279635,log1p
camera_composition_count,0.05123372034811221,2.226490327313733e-18,0.04537260657223777,9.660862678381224e-15,0.05123372034811221,log1p
lighting_color_count,0.014746468491276074,0.011883407767473647,0.01856746375423734,0.0015375094310537275,0.014746468491276074,log1p
quality_boosters_count,0.08628477347709244,3.266731381409729e-49,0.04252267908196918,3.9636621488726197e-13,0.08628477347709244,log1p
style_codes_count,0.007812517629907374,0.18263724659079772,0.01157401808908108,0.048340721348913984,0.007812517629907374,log1p
style_modifiers_count,0.005408177246284283,0.3562506027153347,0.0008035609842924161,0.8909743829768221,0.005408177246284283,log1p
subjects_count,-0.02140554127443024,0.00026043572871832114,-0.017877309605122366,0.0022902943913601518,0.02140554127443024,log1p
has_negative,0.02049142623196833,0.00047265642518589155,0.054131402376085054,2.4533930293651262e-20,0.02049142623196833,original
has_weights,0.014319901039112312,0.0145733093459023,0.013112347548286777,0.025299480188356087,0.014319901039112312,original
negative_word_count,0.04305336492410766,2.020313234235185e-13,0.06461249170687393,2.6452215571989557e-28,0.04305336492410766,log1p
prompt_word_count,0.12342042358741065,3.882552995829803e-99,0.05319063132292269,1.0889483209990228e-19,0.12342042358741065,log1p
