feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,n_samples,spearman_significant,effect_size
has_actions_verbs,0.050293400238347184,9.125193379365126e-18,0.022369159570239206,0.00013551920454934227,0.050293400238347184,29100,True,negligible
has_artists,-0.034575953071925236,3.6410510188362304e-09,-0.0009570375523710354,0.8703204968815776,0.034575953071925236,29100,True,negligible
has_camera_composition,0.03458621104504233,3.6026021906205538e-09,0.030357055987357728,2.2248500424619257e-07,0.03458621104504233,29100,True,negligible
has_lighting_color,-0.0013142718794670245,0.8226106673660334,0.003375564526408893,0.564746941463526,0.0013142718794670245,29100,False,negligible
has_quality_boosters,0.057110615201951855,1.846858061182478e-22,0.021335397236207473,0.0002728455929519622,0.057110615201951855,29100,True,negligible
has_style_codes,-0.011486101591822982,0.05007033598504906,-0.0025018296201013176,0.669552324481787,0.011486101591822982,29100,False,negligible
has_style_modifiers,0.0012269868249738165,0.834214550984073,-0.007456958150253071,0.20336430461413713,0.0012269868249738165,29100,False,negligible
has_subjects,-0.044698229251907036,2.3762671286498595e-14,-0.045067469230506536,1.4540636774280165e-14,0.044698229251907036,29100,True,negligible
actions_verbs_count,0.060012281032983145,1.231852768430283e-24,0.026718879101473837,5.151602216981525e-06,0.060012281032983145,29100,True,negligible
artists_count,-0.036077063746279635,7.459319341017533e-10,0.015573490663505926,0.007891302949548878,0.036077063746279635,29100,True,negligible
camera_composition_count,0.05123372034811221,2.226490327313733e-18,0.05217306516554557,5.303054102215734e-19,0.05123372034811221,29100,True,negligible
lighting_color_count,0.014746468491276074,0.011883407767473647,0.025740984023227418,1.1250821661956252e-05,0.014746468491276074,29100,True,negligible
quality_boosters_count,0.08628477347709244,3.266731381409729e-49,0.05414443115014221,2.4028415848046293e-20,0.08628477347709244,29100,True,negligible
style_codes_count,0.007812517629907374,0.18263724659079772,0.0220350896935746,0.00017045778867907048,0.007812517629907374,29100,False,negligible
style_modifiers_count,0.005408177246284283,0.3562506027153347,0.005690201178961178,0.33172669947416067,0.005408177246284283,29100,False,negligible
subjects_count,-0.02140554127443024,0.00026043572871832114,0.0008629454030295392,0.8829732432947239,0.02140554127443024,29100,True,negligible
has_negative,0.02049142623196833,0.00047265642518589155,0.054131402376085054,2.4533930293651262e-20,0.02049142623196833,29100,True,negligible
has_weights,0.014319901039112312,0.0145733093459023,0.013112347548286777,0.025299480188356087,0.014319901039112312,29100,True,negligible
negative_word_count,0.04305336492410766,2.020313234235185e-13,0.021956857640905214,0.0001797840178099999,0.04305336492410766,29100,True,negligible
prompt_word_count,0.12342042358741065,3.882552995829803e-99,0.039307211837322005,1.978349887743762e-11,0.12342042358741065,29100,True,negligible
