feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,n_samples,spearman_significant,effect_size
has_actions_verbs,-0.011815334464978846,0.043849267514083155,-0.005217822707238531,0.37343275743661974,0.011815334464978846,29100,True,negligible
has_artists,-0.02044099823697834,0.00048812880604062617,-0.015450637244026053,0.008395765271951787,0.02044099823697834,29100,True,negligible
has_camera_composition,-0.01999246514333191,0.0006480741214832153,-0.01731512886217387,0.003138525201610513,0.01999246514333191,29100,True,negligible
has_lighting_color,0.021581397160317612,0.00023161015452736997,0.012605071448563564,0.03153487906023703,0.021581397160317612,29100,True,negligible
has_quality_boosters,-0.007223000024733012,0.2179062617520151,-0.01868768143969781,0.0014325009619191797,0.007223000024733012,29100,False,negligible
has_style_codes,0.008794966941934492,0.1335435617503282,-0.01030802551630861,0.07868141082464097,0.008794966941934492,29100,False,negligible
has_style_modifiers,0.03486406066736904,2.6992390112783934e-09,0.020838569212056495,0.00037794041773745585,0.03486406066736904,29100,True,negligible
has_subjects,0.01719369198939312,0.003355796334160746,0.019777187364862225,0.0007410577566362136,0.01719369198939312,29100,True,negligible
actions_verbs_count,-0.013058100582612534,0.025910914122392565,-0.00402251170308518,0.49261070978447596,0.013058100582612534,29100,True,negligible
artists_count,-0.020636197617939986,0.00043074172590912697,-0.0039004931077000803,0.5058277898174759,0.020636197617939986,29100,True,negligible
camera_composition_count,-0.020162072125392335,0.0005825880524616468,-0.016355652623736686,0.005268654176863327,0.020162072125392335,29100,True,negligible
lighting_color_count,0.022866519581956655,9.576508941917436e-05,0.0052770228763746345,0.36803496798586705,0.022866519581956655,29100,True,negligible
quality_boosters_count,-0.006157619381947262,0.2935452690771242,-0.01582022619244087,0.00695938792767404,0.006157619381947262,29100,False,negligible
style_codes_count,0.019437350890743662,0.0009133724148316457,0.000999384310084745,0.8646366632258026,0.019437350890743662,29100,True,negligible
style_modifiers_count,0.03140988251376321,8.358358864396963e-08,0.006930487769580014,0.2371199815833478,0.03140988251376321,29100,True,negligible
subjects_count,-0.01789693823787139,0.002264887006310408,-0.028807039544967886,8.881797774036451e-07,0.01789693823787139,29100,True,negligible
has_negative,-0.04003576241497364,8.371837392026858e-12,-0.057228439425162946,1.5140990640473311e-22,0.04003576241497364,29100,True,negligible
has_weights,0.007708483792954178,0.18853279833365716,-0.011526181169795239,0.04927550546138621,0.007708483792954178,29100,False,negligible
negative_word_count,-0.044127935221131134,5.0350561166599384e-14,-0.03563197322612315,1.2016098524972904e-09,0.044127935221131134,29100,True,negligible
prompt_word_count,0.021365050178810463,0.00026753326421546047,0.00890699355236324,0.1286658303263433,0.021365050178810463,29100,True,negligible
