feature,threshold,threshold_value,point_biserial_r,point_biserial_p,spearman_r,spearman_p,abs_correlation,success_rate
has_negative,top_10_percent,3393.100000000002,-0.06129384355834316,1.2463157888178703e-25,-0.06129384355834313,1.2463157888180487e-25,0.06129384355834316,0.1
negative_word_count,top_10_percent,3393.100000000002,-0.0299647742795682,3.178625123126054e-07,-0.06262435659820273,1.0981885397166793e-26,0.0299647742795682,0.1
has_style_codes,top_10_percent,3393.100000000002,-0.022969330463296796,8.905632580839838e-05,-0.022969330463296786,8.905632580839439e-05,0.022969330463296796,0.1
subjects_count,top_10_percent,3393.100000000002,-0.02272276072839207,0.0001059495403847142,-0.010558485880308664,0.071684662257709,0.02272276072839207,0.1
has_weights,top_10_percent,3393.100000000002,-0.0203989575145438,0.0005013874594310997,-0.020398957514543837,0.0005013874594310845,0.0203989575145438,0.1
has_quality_boosters,top_10_percent,3393.100000000002,-0.018923447835908387,0.0012455061664142504,-0.018923447835908408,0.0012455061664142948,0.018923447835908387,0.1
quality_boosters_count,top_10_percent,3393.100000000002,-0.015855580069200164,0.006834281607867354,-0.019525858503316153,0.0008652328962391512,0.015855580069200164,0.1
has_subjects,top_10_percent,3393.100000000002,0.015349026947356136,0.008834587137164765,0.015349026947356138,0.008834587137164672,0.015349026947356136,0.1
has_artists,top_10_percent,3393.100000000002,-0.015051413405961542,0.01024011350299394,-0.015051413405961545,0.010240113502994055,0.015051413405961542,0.1
style_codes_count,top_10_percent,3393.100000000002,-0.014924886702349193,0.010895664366430562,-0.026248090483263396,7.528636018170293e-06,0.014924886702349193,0.1
camera_composition_count,top_10_percent,3393.100000000002,-0.014196119838381649,0.01544832618304112,-0.01394054726080448,0.0174024546312266,0.014196119838381649,0.1
actions_verbs_count,top_10_percent,3393.100000000002,0.013790174854286637,0.01865077855974209,0.008516325568774581,0.14629588744683902,0.013790174854286637,0.1
has_camera_composition,top_10_percent,3393.100000000002,-0.009908358696776804,0.0909881196325159,-0.00990835869677681,0.09098811963251635,0.009908358696776804,0.1
prompt_word_count,top_10_percent,3393.100000000002,0.009554434619506804,0.1031370857692759,0.01558299193703895,0.007853443579250271,0.009554434619506804,0.1
has_actions_verbs,top_10_percent,3393.100000000002,0.008913920561990208,0.1283688285041615,0.008913920561990198,0.1283688285041585,0.008913920561990208,0.1
style_modifiers_count,top_10_percent,3393.100000000002,-0.005862842733969637,0.3172661410660116,0.001259596954882237,0.8298749129946994,0.005862842733969637,0.1
lighting_color_count,top_10_percent,3393.100000000002,-0.004890455612779054,0.40415793301028696,0.0005841554105478255,0.9206260269294785,0.004890455612779054,0.1
has_style_modifiers,top_10_percent,3393.100000000002,0.004826283930755308,0.41035345077947644,0.0048262839307553,0.41035345077948093,0.004826283930755308,0.1
has_lighting_color,top_10_percent,3393.100000000002,0.0038906331225797256,0.5069039164713338,0.0038906331225797455,0.506903916471315,0.0038906331225797256,0.1
artists_count,top_10_percent,3393.100000000002,0.002353865789091757,0.6880353057191462,-0.014420128128580267,0.01389711622073435,0.002353865789091757,0.1
has_negative,top_25_percent,1450.0,-0.04490758667108782,1.7995250701926678e-14,-0.044907586671087824,1.7995250701926524e-14,0.04490758667108782,0.2501718213058419
subjects_count,top_25_percent,1450.0,-0.03482764657297201,2.803670560490731e-09,-0.019411162660461608,0.0009280850868228012,0.03482764657297201,0.2501718213058419
negative_word_count,top_25_percent,1450.0,-0.03386989581958054,7.506504658417156e-09,-0.050987291579989144,3.2303188073315207e-18,0.03386989581958054,0.2501718213058419
has_style_modifiers,top_25_percent,1450.0,0.027546905814848432,2.6036533506996472e-06,0.0275469058148484,2.6036533507001737e-06,0.027546905814848432,0.2501718213058419
has_camera_composition,top_25_percent,1450.0,-0.023523145837110005,5.991864990048372e-05,-0.023523145837109995,5.9918649900481194e-05,0.023523145837110005,0.2501718213058419
style_codes_count,top_25_percent,1450.0,0.023055200918251022,8.379576283009088e-05,0.005144665316434487,0.38017045569443475,0.023055200918251022,0.2501718213058419
has_subjects,top_25_percent,1450.0,0.01793671781258008,0.00221418633640739,0.017936717812580175,0.0022141863364071486,0.01793671781258008,0.2501718213058419
camera_composition_count,top_25_percent,1450.0,-0.016884387203910417,0.003972436637375098,-0.024826633772788438,2.2796524046109933e-05,0.016884387203910417,0.2501718213058419
