term,frequency
looking,452
smiling,203
holding,167
sitting,162
standing,83
blushing,36
walking,34
flying,30
leaning,29
riding,20
speeding,20
playing,18
reaching,16
winking,15
facing,14
standsing,13
hugging,13
laughing,13
jumping,12
sitsing,12
posing,12
pointing,12
running,11
eating,11
reading,11
smirking,11
racing,10
grinning,10
gazing,10
crying,9
looksing,9
screaming,8
aiming,8
moving,8
squatting,7
throwing,7
dancing,7
sleeping,7
fighting,7
casting,6
turning,6
glowing,6
adjusting,6
smoking,6
staring,6
capturing,5
kneeling,5
soloing,5
gripping,5
drinking,5
buzzing,5
hiding,5
firing,5
shouting,5
levitating,5
falling,5
giving,5
holdsing,5
breaking,5
wearing,4
beckoning,4
climbing,4
roarsing,4
approaching,4
smugging,4
lying,4
loving,4
creating,4
kicking,4
swinging,4
talking,4
going,4
wielding,4
traversing,4
breathing,4
flickering,4
floating,4
tiltsing,4
stretching,4
saying,4
singing,4
sprinting,3
pouting,3
staresing,3
thinking,3
swimming,3
waving,3
flirting,3
seducing,3
flirtying,3
seductiving,3
peeking,3
burning,3
exciteding,3
attacking,3
gazesing,3
observing,3
peeksing,3
laughsing,3
fliesing,3
grasping,3
reclining,3
watching,3
painting,3
scanning,3
sweating,3
tilting,3
relaxing,3
touching,3
charging,3
meditating,3
walksing,3
shushing,3
moaning,3
writing,3
being,3
saluting,3
covering,3
begging,3
roaring,3
drifting,3
blowing,3
crouching,3
interacting,2
shifting,2
fishing,2
clashing,2
gesturing,2
smilesing,2
swingsing,2
laying,2
berserking,2
unsheathing,2
raisesing,2
blowsing,2
rubbing,2
kissing,2
playfuling,2
trying,2
tendering,2
tearing,2
cleaning,2
guiding,2
arriveding,2
fluttering,2
pointsing,2
dripping,2
shutting,2
slippeding,2
angrying,2
whispering,2
swirling,2
billowsing,2
driving,2
carving,2
blazing,2
waiting,2
resting,2
emerging,2
spreading,2
descending,2
restsing,2
raining,2
slashing,2
confuseding,2
emergesing,2
surpriseding,2
pouring,2
blending,2
shiftsing,2
trembling,2
wandering,2
yelling,2
pulsesing,2
opening,2
shying,2
weaving,2
hoversing,2
pullsing,2
emitting,2
enjoying,2
surfing,2
giggling,2
echoesing,2
leapsing,2
fallsing,2
wing,2
slaying,2
pushesing,2
frowning,2
bending,2
feeding,2
hanging,2
movesing,2
sleepying,2
roaming,2
happying,2
performing,2
making,2
petting,2
lounging,2
scareding,2
twirling,2
feeling,1
brushesing,1
crouchesing,1
filleding,1
squatteding,1
pleading,1
conducting,1
radiating,1
tantrumming,1
slithering,1
slimying,1
becoming,1
transporting,1
pulsating,1
thrivesing,1
baptizing,1
смотритing,1
kuritting,1
shacking,1
bouncying,1
bo abyssing,1
sweepsing,1
examinesing,1
meditatesing,1
stridesing,1
tailing,1
wobblesing,1
swaysing,1
arranging,1
causeding,1
siring,1
wising,1
stitching,1
pumpsing,1
chopsing,1
partiesing,1
steaming,1
aquacrying,1
defending,1
using,1
sing,1
fixing,1
inspecting,1
staying,1
whoing,1
dreamting,1
crawleding,1
sawing,1
disappointeding,1
pensiving,1
welding,1
includeding,1
bursting,1
marchesing,1
determineding,1
roaching,1
exploring,1
gripsing,1
generating,1
slipping,1
swimsing,1
contemplationing,1
clutchesing,1
fainteding,1
spinning,1
conveying,1
rawring,1
tearsing,1
expressionlessing,1
passaging,1
grumpying,1
drooling,1
ringing,1
revealing,1
shiversing,1
plugging,1
discussing,1
picturing,1
creepypastaing,1
glaring,1
crawlsing,1
firesing,1
aimsing,1
snowboarding,1
delivering,1
punching,1
radiatesing,1
wieldsing,1
archesing,1
pulling,1
hallucinationing,1
transformationing,1
warping,1
waitsing,1
loomsing,1
preparesing,1
croucheding,1
inpainting,1
peddling,1
spelling,1
leaking,1
humming,1
rumbling,1
screameding,1
nuzzling,1
freaking,1
floatsing,1
crawling,1
sinking,1
ridding,1
writtenning,1
presenting,1
