term,frequency
close up,168
depth of field,137
cowboy shot,115
portrait,103
full body,102
dynamic angle,90
looking at viewer,59
dutch angle,53
shallow depth of field,46
low angle,45
sharp focus,44
from side,38
face focus,33
closeup,33
dynamic pose,31
sitting,31
wide shot,30
bokeh,29
from above,27
perfect composition,25
from below,23
cinematic composition,22
solo focus,17
side view,16
standing,16
front view,15
photograph,15
upper body,15
medium shot,12
full body shot,12
foreshortening,12
cinematic shot,11
profile,11
dynamic composition,10
wide angle,9
in table,9
soft focus,8
cinematic angle,8
short depth of field,8
full shot,8
looking up,8
action shot,8
high angle,8
dramatic lighting,7
solo,7
extreme close up,7
epic composition,7
upper body shot,7
close up shot,7
girl focus,7
straight on,7
rule of thirds,6
low angle shot,6
dramatic angle,6
sharp,6
three quarter view,6
low angle view,6
full body view,6
soft lighting,5
uncropped,5
high contrast,5
perspective,5
pov,5
looking to the side,5
full view,5
low light,5
back view,5
side portrait,5
head tilt,4
long shot,4
high angle view,4
colorful,4
backlight,4
facing viewer,4
rim lighting,4
high angle side view,4
medium close up shot,4
front angle,4
closeup portrait,4
dof,4
male focus,4
extreme closeup,4
side angle,4
close view,4
long exposure,3
pov across table,3
panoramic shot,3
from front,3
over the shoulder shot,3
table,3
contrapposto,3
shadows,3
pov hands,3
soft shadows,3
big depth of field,3
medium close up,3
side profile,3
looking back,3
selfie,3
eye focus,3
back lighting,3
focused subject,3
looking at the viewer,3
high angle shot,3
motion blur,3
lens flare,3
volumetric lighting,3
viewed from above,3
cinematic light,3
aerial view,3
above clouds,3
direct gaze,2
light hitting one side of face,2
upper body portrait,2
mid shot,2
head and shoulders portrait,2
rim lit,2
random dynamic angle,2
silhouetted,2
extremely sharp focus,2
posing,2
looking at camera,2
dynamic varying pose,2
shot on kodak,2
rim light,2
wide angle shot,2
wide angle perspective,2
silhouette,2
deep shadows,2
macro shot,2
from behind,2
2/3 rule composition:0.5,2
background blur,2
background bokeh,2
knee up,2
cinematic lighting,2
panoramic view,2
drone shot,2
bird's eye view,2
sideways glance,2
creature focus,2
perspective control,2
upper body focus,2
dark shot,2
low angle side view,2
bright,2
spotlight,2
overhead shot,2
excellent composition,2
backlit,2
vertical composition,2
eye level,2
body focus,2
centered,2
atmospheric haze,2
top view,2
far camera angle,2
close up details,2
look at viewer,2
cinematic framing,2
sit,2
daytime,2
sunlight,2
cloudy,2
panoramic zoomed out view,2
shallow dof,2
large depth of field,2
rule of thirds composition,2
kneeling,2
three quarter profile,2
face close up,2
waist up shot,2
overhead,2
fisheye,2
dynamic dutch angle,2
dynamic,2
deep depth of field,2
reaching towards viewer,2
3/4 view,2
leaning forward,2
eye level shot,2
fully body,2
three quarter profile view,2
extreme eye close up,2
wide eyed,2
macro,2
vignette,2
cinemascope,2
subject focus,2
looking down,2
thumb up pose,2
head to toe photo,2
perfectly balanced composition,2
perfectly composed,1
strong depth of field,1
blurred background,1
cute pose,1
light smile,1
sitting on balcony,1
hands down,1
top angle,1
angled slanted 2 point perspective,1
back shot,1
in tree,1
focus,1
side camera angle,1
realistic reflections,1
smooth transitions,1
heavy bokeh light,1
vehicle focus,1
parallel lines,1
architecture shot,1
extreme close up shot,1
dynamic camera angles,1
head and shoulder portrait,1
natural lighting,1
full photo,1
infinite focus,1
off center composition,1
aesthetic,1
sexy look,1
sitting on edge of couch,1
perspective composition,1
perfect lighting,1
ambient occlusion,1
raytracing,1
close shot,1
extreme close up macro photography,1
back,1
lying on couch,1
35mm photo,1
full color,1
bright background,1
24mm lens,1
f/5.6,1
iso 100,1
close up focus,1
45mm lens,1
cinematic,1
sharp contrasts,1
half length shot,1
looking downwards,1
close up portrait,1
natural light,1
night,1
up close macro shot,1
locked onto the front of the mech,1
different angles,1
hands up,1
clenched hands,1
extreme closeup side portrait,1
pans out,1
closeup quarter upper body shot,1
almost from side,1
figure four sitting,1
upper body view,1
upclose,1
down perspective,1
fisheye lens look,1
view from the front,1
tip of sword,1
battle stance,1
combat stance,1
action pose,1
ready for battle,1
lighting from above,1
lying on a tree branch,1
casual pose,1
hand in pocket,1
spread legs,1
dynamic posture,1
dramatic dutch angle,1
mid torso up,1
portrait photo,1
front profile,1
viewed from an angle,1
flying,1
instant camera portrait photography,1
single file,1
three quarters shot,1
spotlight on flowers,1
chiaroscuro,1
distant view,1
hovering,1
dappled light,1
sweeping circling composition,1
sitting cross legged,1
silhouette portrait,1
taking a photo,1
view from aside,1
standing up straight,1
intense focus,1
full clothed,1
simple background,1
dark background,1
face shot,1
three quarter view focus,1
medium wide shot,1
subtle rotation,1
panning,1
spot light,1
backlighting,1
selective focus,1
partially submerged,1
natural,1
center composition,1
symmetry composition,1
front shot,1
film grain,1
three quarter side view,1
composition,1
8k,1
from the front,1
sharp edge detailing,1
smooth gradient transitions,1
subtle vignetting,1
perfectly balanced lighting,1
natural color tones,1
crisp shadow definition,1
warm inviting color palette,1
dutch tilt,1
dramatic clouds,1
mid action shot,1
studio portrait,1
behind the scene,1
wide screen,1
zoomed out,1
viewed from a hill,1
