term,frequency
score_8_up,83
score_9,74
score_7_up,70
score_6_up,34
<lora:add-detail-xl:1>,27
<lora:style:1.2>,23
(Cinematic Photo:1.3),19
(Realistic:1.3),19
mythp0rt,16
<lora:Anti-Blur:1>,16
<lora:flux.1_lora_flyway_Epic-detail_v2:0.3>,15
zPDXL3,15
<lora:Insane Detail Slider:0.25>,14
<lora:fluxenhancer:0.25>,14
need_buzz,12
748cmstyle,12
<lora:Challenge_Winnifier_2025-06:0>,12
score_9_up,12
<lora:Hand v2:0.5>,11
source_anime,10
detailerlora,10
score_5_up,9
motion_lines:1.1,8
score_4_up,8
<lora:USNR_STYLE_XL_lokr:0.45>,7
source_cartoon,7
solo,7
<lora:FluxMythP0rtr4itStyle:0.6>,7
<lora:add-detail-xl:0.7>,7
<lora:MJ52:0.3>,7
<lora:SDXLFaeTastic2400:0.4>,7
<lora:detailed_notrigger:1>,7
motion_blur:1.1,7
<lora:WSSKX_WAI:0.3>,7
OverallDetail,7
<lora:xl_more_art-full_v1:0.5>,7
<lora:xl_more_art-full_v1:0.3>,6
<lora:add_detail:1>,6
<lora:illustriousXL_stabilizer_v1.23:0.3>,6
<lora:NOOB_vp1_detailer_by_volnovik_v1:0.3>,6
<lora:CPA:0.5>,6
<lora:cfg_scale_boost:0.2>,6
<lora:Expressive_H:0.5>,6
zPDXL,6
<lora:liminalspace:1>,6
(incase:0.6),6
Fujifilm XT3,6
cksc,6
<lora:gc_vintage:1>,6
<lora:Fancha_style_v.5:1>,6
<lora:GBF_Illustrious:0.4>,5
<lora:748cmSDXL:0.8>,5
<lora:kaelaIL:0.45>,5
Stable_Yogis_PDXL_Positives,5
<lora:ponyv6_noobE11_2_adamW-000017:0.3>,5
score_8,5
aidmafluxpro1.1,5
<lora:anything:number>,5
p0nyd1sney1ncasev1x0n2,5
<lora:linquivera:0.65>,5
<lora:Colorful_style_v1.3:0.15>,5
<lora:style_of_Rembrandt_FLUX_135:.8>,5
<lora:113_novuschromaFLX_1:.2>,5
zstyle,5
incoth,5
nistyle,5
<lora:Challenge_Winnifier_2025-07:0>,5
<lora:Anime v1.3:1>,5
<lora:Techno_Digitalis:1>,5
<lora:USNR_STYLE_ILL:0.5>,5
<lora:TRT_IL:0.65>,5
Expressiveh,5
<lora:Dever_Flux_Enhancer:0.5>,5
source_7_up,5
<lora:vivid_everclear:0.6>,5
<lora:ponyv5_noobV065S_1_adamW-000013:0.7>,4
<lora:ponyv6_noobV1_2_adamW-000017:0.7>,4
<lora:EtherSDXL:0.15>,4
<lora:FluxMythP0rtr4itStyle:0.8>,4
<lora:Fant5yP0ny:0.8>,4
<lora:offset_0.2:1>,4
HassaKu_illu,4
jsyu_style,4
<lora:aidmaImageUpgrader-FLUX-V0.1:0.33>,4
<lora:flux.1_lora_flyway_Epic-detail_v2:0.6>,4
<lora:extremely_detailed:0.7>,4
usnr,4
4n1v3rs3,4
<lora:DonM3t3rn1tyXL-v1.1:0.7>,4
[ford mustang],4
pinkretroanime,4
<lora:tbh224-sdxl:0.15>,4
<lora:SW01v1-5xl:0.15>,4
<lora:extremely_detailed:1.3>,4
<lora:MadTale Style v2.0 XL:1>,4
<lora:ç»ªå¿ åæ¶æå¾åå½±è´¨æå¢å¼ºV3:0.15>,4
<lora:Delicate_Balance:.3>,4
<lora:neeeg_f1:-1>,4
<lora:extremely_detailed:0.3>,4
(dynamic:1),4
linquivera,4
<lora:cfg_scale_boost:0.4>,4
<lora:hololive_kaela_kovalskia_redebut:0.5>,4
<lora:SDXLFaeTastic2400:0.5>,4
aidmaMJ6.1,4
<lora:vivid_everclear:0.35>,4
<lora:Sinozick:0.35>,4
<lora:MJ52:0.35>,4
rating_explicit,4
RAW photo,4
<lora:FluxMythP0rtr4itStyle:0.7>,4
k4_illu,4
zPDXL2,4
<lora:tbh129-sdxl:0.15>,4
[Dodge Viper],4
score_4,4
score_5,4
score_6,4
ck-js,4
<lora:spo_sdxl_10ep_4k-data_lora_webui:0.6>,3
<lora:Anime_Art_V3:0.7000000000000001>,3
midjourneyv6.1,3
CAICO,3
<lora:illustrious_noobai_epsilon_pred_11_very_aesthetic_v1:0.6>,3
<lora:illustrious_noobai_epsilon_pred_1_masterpieces_v1:0.6>,3
(beeple:1.3),3
(cliff nielsen:1.4),3
[2017 Ford GT],3
<lora:DaVinciTech:0.4>,3
<lora:KawaiiTech:0.6>,3
blush,3
<lora:style-oneviolentfantasy-ep21-flux-by_chronoknight:0.68>,3
<lora:Hand v2:1>,3
<lora:Insane Detail Slider:0.5>,3
<lora:Elden_Ring_-_Yoshitaka_Amano:0.33>,3
<lora:EpicF4nta5yXL:0.7>,3
<lora:Expressive_H-000001:0.8>,3
<lora:Anime_style:0.6>,3
FLUX,3
4ur4_illu,3
artstation,3
<lora:Illustration_Insanity:0.5>,3
<lora:EpicF4nta5yXL:0.8>,3
raytracing,3
<lora:Smooth Anime Style LoRA XL>,3
liiv1,3
ck-mgs,3
<lora:illustrious_noobai_epsilon_pred_1_best_quality_v1:0.4>,3
<lora:ponyv5_noobV065S_1_adamW:0.6>,3
<lora:add-detail-xl:0.4>,3
<lora:GEN(illust) 0.2v:0.6>,3
<lora:USNR STYLE_XL_loha:0.6>,3
keqingcs,3
"<segment:yolo-face_yolov8m.pt,0.4,0.5//cid=1>",3
PnyCmicXLPOS,3
<lora:zavy-cntrst-sdxl:1>,3
<lora:hinagiku_midnight_kimono_il:0.85>,3
<lora:Indonesian_Batik_Morph:1>,3
<lora:Hyper-FLUX.1-dev-16steps-lora:0.15>,3
<lora:add-detail-xl:2>,3
<lora:pink-ponyxl-v2:1>,3
<lora:Detailer_NoobAI_Incrs_v1:0.75>,3
<lora:ootzelda-illu-nvwls-v1-000006:1>,3
(artist:incase:0.5),3
ambient occlusion,3
<lora:Expressive_H-000001:0.6>,3
<lora:g0th1cPXL:0.4>,3
<lora:incase_style_v3-1_ponyxl_ilff:0.3>,3
<lora:sinfully_stylish_SDXL:0.4>,3
eddboi,3
sockhead,3
cinemascope,3
<lora:flux_dev:1>,3
cyberdemonshogun,3
<lora:748cm_illu:0.85>,3
<lora:USNR_STYLE_ILL_V1_lokr3:0.85>,3
<lora:Challenge_Winnifier_2025-05:0>,3
<lora:ROWER:0.6>,3
2000s vintage RAW photo,3
<lora:FantasyWizardWitchesFluxV2-000001:1>,3
<lora:kaelakovalskia20IllustriousXL:0.5>,3
<lora:TransistorsXL_LoRA:1>,3
S4bit4mago_illu,3
inkpunk,3
<lora:rukia-kuchiki-tybw-ponyxl-lora-nochekaiser:1>,3
<lora:add-detail-xl:0.5>,3
<lora:MoriiMee_Gothic_Niji_Style_Illustrious_r1:0.6>,3
<lora:0__11Xx:1>,3
<lora:p3tl0v3XLP:1>,3
<lora:iLLCustodes40k:1>,2
<lora:commixmixL:1>,2
<lora:Belle-IL:1>,2
"<segment:yolo-Anzhc Face seg 640 v2 y8n.pt,0.4,0.5//cid=1>",2
24_94,2
<lora:extremely_detailed:1>,2
CG unity 8k wallpaper,2
<lora:lowres_concept_Illustrious_v1:-0.1>,2
<lora:transparent-background-illustriousxl-lora-nochekaiser:1>,2
<lora:cfg_scale_boost:0.7>,2
<lora:illustrious_noobai_epsilon_pred_1_best_quality_v1:0.6>,2
<lora:Lain_PonyXLv3:0.7>,2
<lora:Code__Digital_World_Morph_v2_PONY_XL_by_UOC:0.7>,2
<lora:USNR STYLE_XL_loha:0.7>,2
<lora:illustrious_noobai_epsilon_pred_11_very_aesthetic_v1:0.7>,2
pscho_4rt,2
<lora:CPA:1>,2
<lora:flux.1_lora_flyway_Epic-detail_v2:1>,2
<lora:aidmaFLUXpro1.1:1>,2
<lora:FluxMythP0rtr4itStyle:0.5>,2
<lora:Luminous_Shadowscape:0.6>,2
<lora:add-detail-xl:1.0>,2
<lora:LangV1:0.7>,2
<lora:RuanV1:0.6>,2
<lora:PE_SpectralStyle:1>,2
long_lashes,2
big_eyes,2
bare_shoulders,2
ftlas-mk.1,2
<lora:114558v4df2fsdf5:0.6>,2
<lora:XXX667:0.4>,2
<lora:mon_monmon2133:0.5>,2
<lora:style-dnd_dark_fantasy-flux-by_arsmachina:0.6>,2
<lora:cremia-nvwls-v1-000009:0.9>,2
<lora:Bio-Luminescence:1>,2
fca style,2
[2007 Audi R8],2
<lora:Flux.1_Turbo_Detailer:0.6>,2
<lora:add_detail:0.5>,2
<lora:backlight_slider_v10:-1.2>,2
<lora:EpicF4nta5yXL:1>,2
<lora:add-detail-xl:-1>,2
(realism),2
<lora:TagineXL:1>,2
<lora:gothic_niji_style_ilxl_goofy:0.8>,2
<lora:The_Dark_Side_Of_The_Future:0.4>,2
<lora:Neurocore Anime Cyberpunk v2.0:0.5>,2
<lora:MeMaXL4:0.8>,2
<lora:haiz_ai_illu:0.7>,2
<lora:pkmnserena-illu-nvwls-v1-000006:1>,2
p0nyd1sney1ncasev1x0n2:1.5,2
<lora:PrincessPeach_NoobAI_Incrs_v1-000012:1>,2
<lora:ck-nc-luminal-genesis:1>,2
<lora:ck-Sci-Fi-Concepts:0.3>,2
<lora:test2:0.7>,2
<lora:Anime v1.3:0.2>,2
<lora:depth_of_field_slider_v1:5>,2
<lora:lyco-style-envydramaticlightingxl01_digital_art-xl:0.48>,2
<lora:envybetterhiresfixxl01-xl:0.0:hr=1.0>,2
<lora:MJ52:0.5>,2
<lora:headpat-pov-illustriousxl-lora-nochekaiser:1>,2
<lora:IL-KatoMegumi:0.8>,2
<lora:Aura_illu:1>,2
cyberpunk,2
g0thicPXL,2
absurdres,2
<lora:DarkSpheraStyle:0.2>,2
<lora:- Flux1 - vanta_black_V2.0:.3>,2
<lora:softwhim:1>,2
<lora:tbh285-sdxl:0.7>,2
<lora:vibrant_dream:0.15>,2
<lora:Apparatus_-_Traction_City_Walkers_Vehicles:0.8>,2
<lora:yukari-yakumo-ponyxl-lora-nochekaiser:1>,2
<lora:codex_arcanum_v20-360:1>,2
dslr,2
film grain,2
<lora:fusionV3:1>,2
(lineless:1.5),2
"(blurry background, depth of field:1.1)",2
m4om4o,2
cknc,2
<lora:illustrious_noobai_epsilon_pred_1_masterpieces_v1:0.4>,2
