term,frequency
1girl,602
hair,334
woman,270
face,230
girl,151
eyes,149
breasts,103
long hair,93
cat,71
hands,58
blonde hair,56
bangs,56
dress,55
tree,53
lips,49
flowers,49
sword,48
medium breasts,44
skin,42
blue eyes,39
1boy,39
city,38
body,38
sign,38
flower,36
man,36
large breasts,34
cars,34
dragon,33
black hair,33
clouds,31
forest,31
moon,31
shirt,29
trees,29
figure,28
grass,28
wings,26
brown hair,26
mountain,25
female,24
lake,24
boy,23
river,23
armor,22
water,21
brown eyes,21
hat,21
skirt,21
short hair,21
cityscape,21
robot,21
mountains,20
jacket,20
jewelry,19
ponytail,19
hand,19
white shirt,18
ocean,18
landscape,18
red eyes,18
hair ornament,18
mature female,17
green eyes,17
street,17
earrings,17
mouth,16
upper body,16
white hair,16
book,15
helmet,15
pointy ears,15
cowboy,15
sky,15
cloud,15
scenery,15
boots,15
eyelashes,15
sidelocks,15
dog,14
head,14
legs,14
spaceship,14
glasses,14
freckles,14
creature,14
teeth,14
pink hair,14
window,13
building,13
katana,13
mouse,13
eye,13
buildings,13
tail,13
1woman,13
horns,13
purple eyes,12
bird,12
cape,12
person,12
house,12
rose,12
maid,12
elf,12
male,12
beach,12
1 girl,12
castle,12
knight,12
pine tree,12
warrior,12
red hair,11
twintails,11
table,11
skyscraper,11
car,11
planet,11
young woman,11
skyscrapers,11
people,11
cloak,11
arms,11
stars,11
waterfall,11
wolf,11
sweater,10
nose,10
women,10
black dress,10
pants,10
plant,9
plants,9
cliff,9
puffy sleeves,9
braid,9
vines,9
mask,9
sea,9
long sleeves,9
thighs,9
2girls,9
kitten,9
ribbon,9
necklace,9
heart,9
wildflowers,9
fox,9
multicolored hair,9
hair ribbon,8
character,8
leaves,8
yellow eyes,8
nails,8
island,8
skeleton,8
fingers,8
glass,8
robe,8
big breasts,8
short sleeves,8
belt,8
rock,8
shoulders,8
sun,8
score 9,8
bee,8
meadows,8
gloves,8
rabbits,8
butterfly,8
hood,8
child,8
chair,8
smile,8
waves,8
waterfalls,8
shoes,7
earth,7
towers,7
beard,7
tongue,7
female character,7
plump lips,7
staff,7
hairclip,7
cliffs,7
small breasts,7
collarbone,7
desert,7
tattoos,7
lakes,7
birds,7
rocks,7
slime creature,7
joints,7
hair bun,7
cat ears,7
cherry blossoms,7
boat,7
bare shoulders,7
fox ears,7
cyborg,7
branch,7
pleated skirt,6
clothes,6
breastplate,6
japanese woman,6
blunt bangs,6
monster,6
road,6
ramen shop interior,6
wooden table and chairs,6
bridge,6
goth girl,6
slender body,6
cleavage,6
anime girl,6
black skirt,6
grey eyes,6
collar,6
wanderer,6
squirrel,6
cats,6
city street,6
dark skinned female,6
fingernails,6
sleeves,6
ahoge,6
cute girl,6
blouse,6
black headwear,6
ears,6
blue hair,6
valley,6
alien,6
pink eyes,6
mountain range,6
sorceress,6
city background,6
fox girl,6
flower field,6
hair over one eye,6
ghost,6
snow,6
hatsune miku,6
neck ribbon,5
juliet sleeves,5
desk,5
leaf,5
power armor,5
elbow gloves,5
floating hair,5
bedroom,5
structures,5
crystal,5
garden,5
black cat,5
astronaut,5
thighhighs,5
bracelet,5
human,5
pond,5
horse,5
twin braids,5
waist,5
witch,5
fish,5
orange hair,5
black shirt,5
android,5
purple dress,5
angel,5
purple hair,5
neck,5
scarf,5
shoulder armor,5
hills,5
world,5
snowflakes,5
apron,5
pikachu,5
ship,5
phoenix,5
green hair,5
hips,5
hairband,5
side ponytail,5
choker,5
field,5
blue skirt,5
wheat field,5
star,5
white skirt,5
jungle,5
skull,5
temple,5
hair between eyes,5
moss,5
black ribbon,4
blush,4
cup,4
wall,4
bug,4
catgirl,4
box,4
bottle,4
pauldrons,4
gauntlets,4
lipstick,4
makeup,4
medium hair,4
teddy bear,4
staircase,4
rivers,4
30yo american woman,4
oasis,4
palm trees,4
roadway,4
wide hips,4
white short sleeved sailor school uniform,4
navy blue pleated mini skirt,4
black school bag,4
figures,4
axe,4
petite,4
jeans,4
town,4
crescent moon,4
space,4
animal ears,4
ass,4
feet,4
hair flower,4
lantern,4
mecha,4
queen,4
grey hair,4
1man,4
text,4
puffy short sleeves,4
stream,4
suit,4
dark skin,4
rabbit,4
black pantyhose,4
eyebrows,4
old man,4
lighthouse,4
mage,4
ice,4
red ribbon,4
white gloves,4
fairy,4
gears,4
blade,4
animal,4
debris,4
fur,4
detached sleeves,4
canyon,4
mole under mouth,4
frog,4
sofa,4
tower,4
metropolis,4
sunflowers,4
village,4
demon horns,4
black footwear,4
room,4
oak tree,4
ground,4
wizard,4
moonlight,4
park,4
wires,4
couple,4
fox tail,4
corset,4
score 8 up,4
score 7 up,4
megastructure,4
soldier,4
pantyhose,4
apple,4
shorts,4
universe,4
white collar,3
white thighhighs,3
fog,3
gun,3
headband,3
bow,3
yellow dress,3
long dress,3
armour,3
pine trees,3
coins,3
swords,3
cat girl,3
crown,3
path,3
golden armor,3
rock formations,3
plains,3
tall grass,3
domes,3
aircraft,3
robes,3
antlers,3
ninja,3
slime,3
spear,3
life form,3
plerkblortz,3
cute face,3
cute,3
japanese elements,3
t shirt,3
walls,3
metal,3
poster,3
orc,3
white,3
crystals,3
porsche,3
racing car,3
breast,3
portrait,3
pine forest,3
statue,3
nun,3
black pants,3
spires,3
mist,3
octopus,3
maid headdress,3
sash,3
mob cap,3
bat wings,3
owl,3
kittens,3
whale,3
vampire,3
mechanical parts,3
waters,3
bob,3
robots,3
darth vader,3
santa claus,3
full moon,3
pale skin,3
lady,3
kitchen,3
gorilla,3
jellyfish,3
tavern,3
girls,3
fang,3
perfect hands,3
aurora borealis,3
beak,3
witch hat,3
makima,3
mole under eye,3
bush,3
violin,3
hair bow,3
frills,3
white hat,3
gown,3
handle,3
young girl,3
wolf girl,3
ruins,3
hill,3
king,3
flames,3
black hairband,3
plate,3
fork,3
gate,3
black eyes,3
cat tail,3
background,3
duck,3
blue dress,3
flat chest,3
nebulas,3
cat bell necklace,3
meadow,3
windows,3
unicorn,3
bunny,3
swamp,3
shark,3
princess,3
toes,3
animals,3
puppy,3
knee boots,3
coat,3
cheekbones,3
mole,3
silver hair,3
blue skin,3
computer screen,3
traditional japanese decor,3
anime character,3
mini skirt,3
turtle,3
bees,3
sunset,3
kimono,3
long eyelashes,3
navel,3
cauldron,3
bed,3
door,3
forehead,3
collared shirt,3
